category_a,category_b,attachment_count
CHIPS,PERSONAL HYGIENE,1830
CIGARETTES,TBA,1819
BISCUITS,misc,1801
SEASONINGS,NOODLES,1792
SEASONINGS,PERSONAL HYGIENE,1763
TBA,NOODLES,1758
SEASONINGS,CONDIMENTS,1741
CANNED GOODS,BISCUITS,1733
CANNED GOODS,DETERGENT,1729
misc,BISCUITS,1721
misc,TBA,1719
CANDY,CHIPS,1706
MILK,DRINK,1704
BAKING ESSENTIALS,CANNED MILK,1698
BAKING ESSENTIALS,BREAD,1697
BISCUITS,COFFEE,1690
CANNED GOODS,PERSONAL HYGIENE,1688
BISCUITS,DETERGENT,1685
POWDERED MILK DRINK,TBA,1684
BREAD,misc,1684
BISCUITS,POWDERED MILK DRINK,1660
BAKING ESSENTIALS,TBA,1660
CHIPS,misc,1656
PERSONAL HYGIENE,misc,1647
ICE CREAM,CANDY,1635
DETERGENT,COFFEE,1634
COFFEE,BREAD,1633
DRINK,CIGARETTES,1616
CANNED GOODS,CONDIMENTS,1604
MILK,BISCUITS,1603
PERSONAL HYGIENE,DRINK,1602
TBA,CANNED GOODS,1562
CHIPS,DETERGENT,1560
BAKING ESSENTIALS,COFFEE,1559
SEASONINGS,misc,1557
CANDY,BREAD,1556
DRINK,COFFEE,1550
DRINK,SEASONINGS,1545
BREAD,PERSONAL HYGIENE,1545
BISCUITS,SHAMPOO,1536
DRINK,SHAMPOO,1534
POWDERED MILK DRINK,DRINK,1518
DRINK,NOODLES,1512
CIGARETTES,COFFEE,1512
DRINK,MILK,1505
COFFEE,BISCUITS,1495
CANNED GOODS,CHIPS,1486
TBA,POWDERED MILK DRINK,1483
SEASONINGS,COFFEE,1480
BREAD,DRINK,1479
DETERGENT,misc,1476
PERSONAL HYGIENE,BISCUITS,1474
MILK,CANNED MILK,1473
DETERGENT,BREAD,1472
CANNED GOODS,COFFEE,1471
BREAD,BISCUITS,1471
CHIPS,SHAMPOO,1470
SHAMPOO,TBA,1466
CANDY,TBA,1463
DETERGENT,DRINK,1457
DRINK,CONDIMENTS,1454
DETERGENT,SEASONINGS,1443
COFFEE,TBA,1440
MILK,BREAD,1428
COFFEE,DRINK,1426
CANNED GOODS,SHAMPOO,1425
DRINK,CANNED GOODS,1409
DRINK,ICE CREAM,1402
BREAD,CANDY,1395
BAKING ESSENTIALS,DETERGENT,1389
BAKING ESSENTIALS,DRINK,1385
BAKING ESSENTIALS,PERSONAL HYGIENE,1366
DETERGENT,POWDERED MILK DRINK,1365
EGG,CANNED GOODS,1361
PERSONAL HYGIENE,COFFEE,1358
MILK,SEASONINGS,1349
CANNED GOODS,POWDERED MILK DRINK,1337
DRINK,POWDERED MILK DRINK,1335
BISCUITS,MILK,1327
DETERGENT,BISCUITS,1327
MILK,TBA,1314
POWDERED MILK DRINK,SEASONINGS,1307
DISH WASHING,PERSONAL HYGIENE,1305
CHIPS,NOODLES,1283
CANNED GOODS,MILK,1280
misc,CHIPS,1271
CANDY,misc,1262
TBA,CONDIMENTS,1261
DRINK,BAKING ESSENTIALS,1249
CHIPS,COFFEE,1243
TBA,PLASTIC PRODUCTS,1242
CANNED GOODS,CANDY,1241
SEASONINGS,POWDERED MILK DRINK,1239
SEASONINGS,SHAMPOO,1237
COFFEE,SEASONINGS,1234
PERSONAL HYGIENE,CANDY,1220
CONDIMENTS,SEASONINGS,1217
NOODLES,TBA,1217
TBA,MILK,1205
SEASONINGS,MILK,1192
NOODLES,CANNED GOODS,1191
SEASONINGS,BISCUITS,1175
CANNED MILK,SEASONINGS,1173
BISCUITS,NOODLES,1173
POWDERED MILK DRINK,NOODLES,1162
NOODLES,DETERGENT,1156
BREAD,NOODLES,1155
CIGARETTES,CANDY,1152
BAKING ESSENTIALS,MILK,1149
BAKING ESSENTIALS,CONDIMENTS,1148
misc,PERSONAL HYGIENE,1146
DETERGENT,CANDY,1145
BREAD,DETERGENT,1145
CANNED GOODS,CANNED MILK,1144
SEASONINGS,CANNED MILK,1142
TBA,BAKING ESSENTIALS,1140
NOODLES,PERSONAL HYGIENE,1133
BAKING ESSENTIALS,BISCUITS,1119
BAKING ESSENTIALS,CANNED GOODS,1111
SHAMPOO,misc,1109
BREAD,TBA,1109
ICE CREAM,DRINK,1105
CIGARETTES,PERSONAL HYGIENE,1099
BAKING ESSENTIALS,POWDERED MILK DRINK,1094
POWDERED MILK DRINK,CONDIMENTS,1093
POWDERED MILK DRINK,CHIPS,1092
CANNED GOODS,misc,1088
COFFEE,misc,1086
NOODLES,SEASONINGS,1081
SEASONINGS,CANDY,1081
COFFEE,NOODLES,1080
DISH WASHING,SHAMPOO,1076
BAKING ESSENTIALS,misc,1072
DETERGENT,DISH WASHING,1071
DETERGENT,NOODLES,1068
misc,CIGARETTES,1066
MILK,POWDERED MILK DRINK,1055
TBA,SCHOOL SUPPLIES,1052
CHIPS,ICE CREAM,1050
PERSONAL HYGIENE,FEMALE HYGEINE,1046
BREAD,COFFEE,1040
POWDERED MILK DRINK,CANDY,1032
BAKING ESSENTIALS,CANDY,1031
ICE CREAM,BREAD,1030
FEMALE HYGEINE,PERSONAL HYGIENE,1026
CANDY,PERSONAL HYGIENE,1023
EGG,BREAD,1020
SHAMPOO,DRINK,1018
CHIPS,POWDERED MILK DRINK,1018
NOODLES,BREAD,1006
CONDIMENTS,TBA,1006
SHAMPOO,BISCUITS,1003
PERSONAL HYGIENE,BREAD,1000
CIGARETTES,BISCUITS,984
CANDY,ICE CREAM,978
BREAD,SEASONINGS,972
TBA,ICE CREAM,969
misc,BREAD,969
BREAD,CHIPS,966
CHIPS,SEASONINGS,962
BISCUITS,SEASONINGS,958
PERSONAL HYGIENE,NOODLES,956
ICE CREAM,BISCUITS,950
CIGARETTES,LIQUOR,949
OIL,SEASONINGS,948
PERSONAL HYGIENE,POWDERED MILK DRINK,944
CONDIMENTS,DRINK,944
NOODLES,SHAMPOO,943
MILK,CONDIMENTS,941
POWDERED MILK DRINK,misc,940
CHIPS,CONDIMENTS,936
NOODLES,DRINK,926
PERSONAL HYGIENE,CHIPS,923
TBA,CIGARETTES,918
misc,ICE CREAM,911
CHIPS,MILK,907
POWDERED MILK DRINK,clasic,906
CIGARETTES,CHIPS,903
TBA,CANNED MILK,902
COFFEE,CANDY,899
COFFEE,clasic,896
PERSONAL HYGIENE,SEASONINGS,893
SHAMPOO,BREAD,880
ICE CREAM,CHIPS,880
COFFEE,CONDIMENTS,877
MILK,COFFEE,875
SHAMPOO,COFFEE,874
CHIPS,LIQUOR,873
MILK,misc,869
BISCUITS,CONDIMENTS,867
MILK,PERSONAL HYGIENE,865
DETERGENT,CHIPS,864
NOODLES,CHIPS,857
NOODLES,COFFEE,854
PERSONAL HYGIENE,SOAP,853
COFFEE,CHIPS,850
CIGARETTES,DETERGENT,848
NOODLES,CANDY,840
CIGARETTES,POWDERED MILK DRINK,840
CHIPS,CANNED GOODS,837
MILK,CANDY,836
MILK,DETERGENT,836
SEASONINGS,CHIPS,833
NOODLES,BISCUITS,830
DETERGENT,CONDIMENTS,827
TBA,POWDERED FRUIT DRINK,824
BAKING ESSENTIALS,SHAMPOO,824
BISCUITS,CANNED GOODS,823
BAKING ESSENTIALS,NOODLES,815
DETERGENT,CANNED GOODS,814
SHAMPOO,SOAP,813
CIGARETTES,BREAD,812
CONDIMENTS,PERSONAL HYGIENE,811
EGG,NOODLES,810
BISCUITS,ICE CREAM,807
PERSONAL HYGIENE,DISH WASHING,805
CANDY,DETERGENT,803
POWDERED MILK DRINK,CANNED GOODS,801
SHAMPOO,FEMALE HYGEINE,800
CHIPS,POWDERED FRUIT DRINK,800
ICE CREAM,misc,796
BREAD,SHAMPOO,789
SHAMPOO,CANDY,783
BAKING ESSENTIALS,CHIPS,775
misc,DETERGENT,772
DETERGENT,FEMALE HYGEINE,771
CANNED MILK,TBA,765
MILK,CANNED GOODS,762
NOODLES,misc,757
CANNED MILK,BREAD,756
ICE CREAM,TBA,754
CIGARETTES,SEASONINGS,748
COFFEE,CANNED GOODS,747
DETERGENT,SOAP,745
CONDIMENTS,DETERGENT,743
EGG,DRINK,738
CANNED MILK,MILK,736
FEMALE HYGEINE,SHAMPOO,731
NOODLES,CONDIMENTS,725
TBA,DISH WASHING,724
SHAMPOO,NOODLES,712
misc,SEASONINGS,709
CHIPS,NUTS,701
CONDIMENTS,CANDY,700
CONDIMENTS,COFFEE,695
SEASONINGS,rice,695
LIQUOR,DRINK,693
DRINK,POWDERED FRUIT DRINK,693
PLASTIC PRODUCTS,TBA,692
CANNED GOODS,BAKING ESSENTIALS,692
DRINK,PLASTIC PRODUCTS,691
CANDY,SHAMPOO,691
LIQUOR,POWDERED FRUIT DRINK,689
CONDIMENTS,CANNED GOODS,684
MILK,SHAMPOO,683
CONDIMENTS,misc,677
CANNED MILK,CONDIMENTS,675
CANDY,COFFEE,669
COFFEE,MILK,669
SHAMPOO,SEASONINGS,668
CANDY,SEASONINGS,668
SEASONINGS,OIL,667
PERSONAL HYGIENE,CONDIMENTS,664
CANDY,MILK,662
TBA,FEMALE HYGEINE,662
BAKING ESSENTIALS,PLASTIC PRODUCTS,653
POWDERED MILK DRINK,POWDERED FRUIT DRINK,649
MILK,CHIPS,643
BREAD,CANNED GOODS,639
CONDIMENTS,BISCUITS,638
SEASONINGS,POWDERED FRUIT DRINK,632
CANDY,NOODLES,628
BAKING ESSENTIALS,RICE,626
CANNED MILK,BAKING ESSENTIALS,623
SEASONINGS,DISH WASHING,621
CANNED GOODS,POWDERED FRUIT DRINK,619
CANDY,CONDIMENTS,618
DRINK,CANNED MILK,618
PLASTIC PRODUCTS,DRINK,616
DRINK,FEMALE HYGEINE,616
CONDIMENTS,NOODLES,614
OIL,TBA,614
DISH WASHING,TBA,612
EGG,SEASONINGS,610
FEMALE HYGEINE,DETERGENT,609
TBA,rice,605
CIGARETTES,SHAMPOO,604
EGG,TBA,598
POWDERED MILK DRINK,DIAPERS,596
MILK,NOODLES,595
BREAD,POWDERED FRUIT DRINK,590
CANNED MILK,CANNED GOODS,587
SEASONINGS,PLASTIC PRODUCTS,587
BISCUITS,POWDERED FRUIT DRINK,586
OIL,BREAD,583
misc,SHAMPOO,581
CANNED GOODS,DISH WASHING,574
MILK,BAKING ESSENTIALS,574
NOODLES,CANNED MILK,567
SEASONINGS,EGG,565
CHIPS,BAKING ESSENTIALS,564
NUTS,CHIPS,560
SCHOOL SUPPLIES,TBA,556
EGG,POWDERED MILK DRINK,555
CHIPS,FEMALE HYGEINE,553
DETERGENT,MILK,553
NOODLES,POWDERED MILK DRINK,551
DISH WASHING,COFFEE,550
SHAMPOO,DISH WASHING,550
CANNED MILK,DRINK,550
misc,CANNED GOODS,550
POWDERED MILK DRINK,BAKING ESSENTIALS,545
SHAMPOO,CHIPS,544
BISCUITS,CANNED MILK,543
ICE CREAM,PERSONAL HYGIENE,543
misc,POWDERED MILK DRINK,542
BISCUITS,CAKE BAR,540
OIL,DRINK,538
DETERGENT,BAKING ESSENTIALS,538
MEDICINE,DRINK,537
EGG,COFFEE,535
NOODLES,MILK,533
DRINK,Rice,531
DRINK,DISH WASHING,530
DRINK,LIQUOR,525
CANNED GOODS,rice,525
TBA,SOAP,524
CANNED MILK,NOODLES,522
POWDERED MILK DRINK,CANNED MILK,520
DETERGENT,POWDERED FRUIT DRINK,520
EGG,DETERGENT,520
BREAD,MILK,517
CIGARETTES,CANNED GOODS,517
BISCUITS,BAKING ESSENTIALS,517
CONDIMENTS,CANNED MILK,516
LIQUOR,CHIPS,515
CANDY,POWDERED MILK DRINK,513
COFFEE,BAKING ESSENTIALS,512
RICE,SEASONINGS,511
DRINK,NUTS,511
DISH WASHING,SEASONINGS,510
POWDERED MILK DRINK,MILK,507
CANNED GOODS,ICE CREAM,507
OIL,BAKING ESSENTIALS,506
CIGARETTES,NOODLES,502
PERSONAL HYGIENE,CANNED GOODS,502
DEODORANT,PERSONAL HYGIENE,499
TBA,EGG,498
misc,NOODLES,497
DISH WASHING,BREAD,494
POWDERED MILK DRINK,DISH WASHING,490
misc,MILK,486
DRINK,DIAPERS,485
CANNED MILK,misc,483
SHAMPOO,POWDERED MILK DRINK,479
PLASTIC PRODUCTS,SEASONINGS,478
OIL,DETERGENT,478
OIL,EGG,477
DIAPERS,PERSONAL HYGIENE,477
FEMALE HYGEINE,TBA,476
BAKING ESSENTIALS,EGG,476
misc,COFFEE,475
DETERGENT,RICE,475
CONDIMENTS,BAKING ESSENTIALS,473
POWDERED MILK DRINK,FEMALE HYGEINE,472
COFFEE,POWDERED FRUIT DRINK,469
misc,SCHOOL SUPPLIES,469
CANNED GOODS,EGG,468
COFFEE,rice,464
PERSONAL HYGIENE,POWDERED FRUIT DRINK,463
BISCUITS,FEMALE HYGEINE,463
EGG,CHIPS,462
SHAMPOO,CONDIMENTS,461
DISH WASHING,misc,461
CONDIMENTS,CHIPS,460
BREAD,ICE CREAM,458
SOAP,SHAMPOO,456
DISH WASHING,POWDERED MILK DRINK,454
CONDIMENTS,SHAMPOO,453
DISH WASHING,DRINK,453
CIGARETTES,ICE CREAM,451
EGG,BISCUITS,449
CIGARETTES,BAKING ESSENTIALS,449
SOAP,PERSONAL HYGIENE,442
OIL,PERSONAL HYGIENE,442
LIQUOR,misc,441
DRINK,crackers,440
DETERGENT,ICE CREAM,439
OIL,CANNED GOODS,438
ICE CREAM,DETERGENT,437
SCHOOL SUPPLIES,misc,437
PLASTIC PRODUCTS,DETERGENT,435
TBA,LIQUOR,432
POWDERED FRUIT DRINK,COFFEE,431
CANNED MILK,jelly,430
EGG,CONDIMENTS,430
PLASTIC PRODUCTS,misc,428
misc,PLASTIC PRODUCTS,428
PLASTIC PRODUCTS,PERSONAL HYGIENE,428
ICE CREAM,SHAMPOO,423
BISCUITS,DISH WASHING,420
CIGARETTES,MILK,419
CANDY,BAKING ESSENTIALS,419
POWDERED FRUIT DRINK,misc,417
CANNED GOODS,FEMALE HYGEINE,416
CANDY,CANNED GOODS,416
PERSONAL HYGIENE,ICE CREAM,415
PLASTIC PRODUCTS,CANNED MILK,410
misc,BAKING ESSENTIALS,410
SEASONINGS,ICE CREAM,410
BREAD,POWDERED MILK DRINK,409
CHIPS,DISH WASHING,408
PERSONAL HYGIENE,BAKING ESSENTIALS,407
COFFEE,CANNED MILK,407
OIL,misc,406
CHIPS,CIGARETTES,404
EGG,PERSONAL HYGIENE,403
COFFEE,DISH WASHING,403
CONDIMENTS,MILK,403
DISH WASHING,BISCUITS,403
DETERGENT,CANNED MILK,402
BREAD,FEMALE HYGEINE,402
DRINK,SCHOOL SUPPLIES,402
BISCUITS,DIAPERS,394
LIQUOR,TBA,393
CHIPS,CANNED MILK,393
CANDY,CANNED MILK,393
PERSONAL HYGIENE,MILK,390
misc,CONDIMENTS,389
DRINK,CAKE BAR,386
BAKING ESSENTIALS,DISH WASHING,385
